ArticleID,StatName,StatValue
1,char_count,1061.0
1,word_count,206.0
1,sent_count,13.0
1,sybl_count,322.0
1,notdalechall_count,72.0
1,polysyblword_count,26.0
1,flesch_score,58.51231889469753
1,fleschkincaid_score,9.034660194174759
1,gunningfog_score,11.387005227781927
1,smog_score,11.20814326018867
1,dalechall_score,9.941304182225542
2,char_count,628.0
2,word_count,112.0
2,sent_count,5.0
2,sybl_count,194.0
2,notdalechall_count,47.0
2,polysyblword_count,24.0
2,flesch_score,37.55971428571431
2,fleschkincaid_score,13.585285714285716
2,gunningfog_score,17.53142857142857
2,smog_score,15.6451
2,dalechall_score,11.373700714285713
3,char_count,517.0
3,word_count,86.0
3,sent_count,4.0
3,sybl_count,160.0
3,notdalechall_count,40.0
3,polysyblword_count,24.0
3,flesch_score,27.61715116279072
3,fleschkincaid_score,14.748488372093023
3,gunningfog_score,19.76279069767442
3,smog_score,17.122413403193683
3,dalechall_score,12.047086046511627
4,char_count,669.0
4,word_count,117.0
4,sent_count,6.0
4,sybl_count,205.0
4,notdalechall_count,48.0
4,polysyblword_count,25.0
4,flesch_score,38.81173076923079
4,fleschkincaid_score,12.690213675213677
4,gunningfog_score,16.347008547008546
4,smog_score,14.790194502661404
4,dalechall_score,11.081648717948717
5,char_count,823.0
5,word_count,146.0
5,sent_count,7.0
5,sybl_count,249.0
5,notdalechall_count,46.0
5,polysyblword_count,30.0
5,flesch_score,41.38143835616441
5,fleschkincaid_score,12.668943248532292
5,gunningfog_score,16.562035225048927
5,smog_score,14.955608360458719
5,dalechall_score,9.6459457925636
6,char_count,668.0
6,word_count,112.0
6,sent_count,4.0
6,sybl_count,203.0
6,notdalechall_count,55.0
6,polysyblword_count,29.0
6,flesch_score,25.077500000000043
6,fleschkincaid_score,16.7175
6,gunningfog_score,21.55714285714286
6,smog_score,18.511140095513987
6,dalechall_score,12.779317857142857
7,char_count,601.0
7,word_count,100.0
7,sent_count,4.0
7,sybl_count,191.0
7,notdalechall_count,46.0
7,polysyblword_count,28.0
7,flesch_score,19.874000000000024
7,fleschkincaid_score,16.698
7,gunningfog_score,21.200000000000003
7,smog_score,18.243605946275583
7,dalechall_score,12.139899999999999
8,char_count,1397.0
8,word_count,239.0
8,sent_count,8.0
8,sybl_count,416.0
8,notdalechall_count,108.0
8,polysyblword_count,47.0
8,flesch_score,29.258318514644344
8,fleschkincaid_score,16.600162133891217
8,gunningfog_score,19.816108786610883
8,smog_score,16.975882523387877
8,dalechall_score,12.253530125523012
9,char_count,895.0
9,word_count,163.0
9,sent_count,8.0
9,sybl_count,261.0
9,notdalechall_count,66.0
9,polysyblword_count,33.0
9,flesch_score,50.69057131901843
9,fleschkincaid_score,11.250728527607365
9,gunningfog_score,16.248159509202452
9,smog_score,14.731742533061166
9,dalechall_score,11.040596932515337
10,char_count,916.0
10,word_count,165.0
10,sent_count,7.0
10,sybl_count,287.0
10,notdalechall_count,80.0
10,polysyblword_count,39.0
10,flesch_score,35.75727272727272
10,fleschkincaid_score,14.12770562770563
10,gunningfog_score,18.883116883116884
10,smog_score,16.613394197324528
10,dalechall_score,12.461400432900431
11,char_count,896.0
11,word_count,163.0
11,sent_count,8.0
11,sybl_count,273.0
11,notdalechall_count,68.0
11,polysyblword_count,32.0
11,flesch_score,44.46235046012271
11,fleschkincaid_score,12.119440184049083
11,gunningfog_score,16.00276073619632
11,smog_score,14.554592549557764
11,dalechall_score,11.23433926380368
12,char_count,889.0
12,word_count,159.0
12,sent_count,4.0
12,sybl_count,267.0
12,notdalechall_count,61.0
12,polysyblword_count,34.0
12,flesch_score,24.424599056603796
12,fleschkincaid_score,19.727594339622645
12,gunningfog_score,24.453459119496856
12,smog_score,19.78447435784618
12,dalechall_score,11.665898742138365
13,char_count,1283.0
13,word_count,211.0
13,sent_count,12.0
13,sybl_count,376.0
13,notdalechall_count,87.0
13,polysyblword_count,40.0
13,flesch_score,38.23151856240128
13,fleschkincaid_score,12.29498815165877
13,gunningfog_score,14.616271721958924
13,smog_score,13.5591
13,dalechall_score,11.01920205371248
14,char_count,456.0
14,word_count,75.0
14,sent_count,5.0
14,sybl_count,144.0
14,notdalechall_count,33.0
14,polysyblword_count,17.0
14,flesch_score,29.178000000000026
14,fleschkincaid_score,12.916
14,gunningfog_score,15.066666666666666
14,smog_score,13.662883650711645
14,dalechall_score,11.3281
15,char_count,708.0
15,word_count,115.0
15,sent_count,5.0
15,sybl_count,219.0
15,notdalechall_count,60.0
15,polysyblword_count,29.0
15,flesch_score,22.382173913043488
15,fleschkincaid_score,15.851304347826089
15,gunningfog_score,19.286956521739132
15,smog_score,16.887214914478655
15,dalechall_score,13.015560869565217
16,char_count,569.0
16,word_count,96.0
16,sent_count,4.0
16,sybl_count,173.0
16,notdalechall_count,43.0
16,polysyblword_count,24.0
16,flesch_score,30.01875000000004
16,fleschkincaid_score,15.034583333333334
16,gunningfog_score,19.6
16,smog_score,17.122413403193683
16,dalechall_score,11.899504166666667
17,char_count,467.0
17,word_count,85.0
17,sent_count,3.0
17,sybl_count,139.0
17,notdalechall_count,46.0
17,polysyblword_count,18.0
17,flesch_score,39.73078431372551
17,fleschkincaid_score,14.756470588235295
17,gunningfog_score,19.80392156862745
17,smog_score,17.122413403193683
17,dalechall_score,13.587009803921568
18,char_count,561.0
18,word_count,102.0
18,sent_count,3.0
18,sybl_count,174.0
18,notdalechall_count,46.0
18,polysyblword_count,19.0
18,flesch_score,28.007352941176492
18,fleschkincaid_score,17.79941176470588
18,gunningfog_score,21.050980392156863
18,smog_score,17.5058628484301
18,dalechall_score,12.443880392156863
19,char_count,801.0
19,word_count,152.0
19,sent_count,6.0
19,sybl_count,242.0
19,notdalechall_count,50.0
19,polysyblword_count,23.0
19,flesch_score,46.429561403508785
19,fleschkincaid_score,13.076842105263157
19,gunningfog_score,16.185964912280703
19,smog_score,14.314028922438442
19,dalechall_score,10.087112280701755
20,char_count,854.0
20,word_count,152.0
20,sent_count,8.0
20,sybl_count,261.0
20,notdalechall_count,54.0
20,polysyblword_count,28.0
20,flesch_score,42.28289473684214
20,fleschkincaid_score,12.08184210526316
20,gunningfog_score,14.968421052631578
20,smog_score,13.81666964889586
20,dalechall_score,10.188505263157893
21,char_count,1094.0
21,word_count,196.0
21,sent_count,9.0
21,sybl_count,337.0
21,notdalechall_count,59.0
21,polysyblword_count,38.0
21,flesch_score,39.270351473922915
21,fleschkincaid_score,13.192108843537417
21,gunningfog_score,16.46621315192744
21,smog_score,14.867677710551934
21,dalechall_score,9.469790022675735
22,char_count,776.0
22,word_count,147.0
22,sent_count,8.0
22,sybl_count,239.0
22,notdalechall_count,60.0
22,polysyblword_count,27.0
22,flesch_score,50.63743622448982
22,fleschkincaid_score,10.761284013605444
22,gunningfog_score,14.696938775510205
22,smog_score,13.624085052395262
22,dalechall_score,10.992797959183672
23,char_count,352.0
23,word_count,53.0
23,sent_count,4.0
23,sybl_count,108.0
23,notdalechall_count,26.0
23,polysyblword_count,18.0
23,flesch_score,20.99379716981136
23,fleschkincaid_score,13.622783018867928
23,gunningfog_score,18.88490566037736
23,smog_score,15.247664890283005
23,dalechall_score,12.039737735849055
24,char_count,1298.0
24,word_count,235.0
24,sent_count,10.0
24,sybl_count,394.0
24,notdalechall_count,85.0
24,polysyblword_count,46.0
24,flesch_score,41.14250000000004
24,fleschkincaid_score,13.358829787234045
24,gunningfog_score,17.229787234042554
24,smog_score,15.381575749822971
24,dalechall_score,10.51337659574468
25,char_count,483.0
25,word_count,79.0
25,sent_count,3.0
25,sybl_count,141.0
25,notdalechall_count,48.0
25,polysyblword_count,20.0
25,flesch_score,29.11172995780595
25,fleschkincaid_score,15.740759493670886
25,gunningfog_score,20.65991561181435
25,smog_score,17.879347455551382
25,dalechall_score,14.536557383966244
26,char_count,904.0
26,word_count,164.0
26,sent_count,7.0
26,sybl_count,277.0
26,notdalechall_count,66.0
26,polysyblword_count,34.0
26,flesch_score,40.163536585365875
26,fleschkincaid_score,13.477630662020905
26,gunningfog_score,17.66411149825784
26,smog_score,15.719379583869454
26,dalechall_score,11.153069337979092
27,char_count,849.0
27,word_count,148.0
27,sent_count,6.0
27,sybl_count,252.0
27,notdalechall_count,60.0
27,polysyblword_count,31.0
27,flesch_score,37.74968468468472
27,fleschkincaid_score,14.121891891891892
27,gunningfog_score,18.245045045045046
27,smog_score,16.11434528070225
27,dalechall_score,11.261318018018018
28,char_count,908.0
28,word_count,162.0
28,sent_count,5.0
28,sybl_count,284.0
28,notdalechall_count,64.0
28,polysyblword_count,45.0
28,flesch_score,25.63788888888891
28,fleschkincaid_score,17.732419753086422
28,gunningfog_score,24.07111111111111
28,smog_score,20.267338824336647
28,dalechall_score,11.481564691358024
29,char_count,803.0
29,word_count,136.0
29,sent_count,5.0
29,sybl_count,255.0
29,notdalechall_count,55.0
29,polysyblword_count,34.0
29,flesch_score,20.602000000000004
29,fleschkincaid_score,17.143
29,gunningfog_score,20.880000000000003
29,smog_score,18.026119701940384
29,dalechall_score,11.37128176470588
30,char_count,425.0
30,word_count,76.0
30,sent_count,3.0
30,sybl_count,122.0
30,notdalechall_count,32.0
30,polysyblword_count,10.0
30,flesch_score,45.31640350877194
30,fleschkincaid_score,13.232105263157898
30,gunningfog_score,15.396491228070175
30,smog_score,13.5591
30,dalechall_score,11.541454385964911
31,char_count,582.0
31,word_count,107.0
31,sent_count,4.0
31,sybl_count,177.0
31,notdalechall_count,46.0
31,polysyblword_count,19.0
31,flesch_score,39.737955607476636
31,fleschkincaid_score,14.362126168224304
31,gunningfog_score,17.802803738317756
31,smog_score,15.579741850924794
31,dalechall_score,11.751524299065421
32,char_count,922.0
32,word_count,159.0
32,sent_count,5.0
32,sybl_count,282.0
32,notdalechall_count,67.0
32,polysyblword_count,35.0
32,flesch_score,24.512716981132087
32,fleschkincaid_score,17.740301886792455
32,gunningfog_score,21.52503144654088
32,smog_score,18.243605946275583
32,dalechall_score,11.867427798742138
33,char_count,921.0
33,word_count,172.0
33,sent_count,8.0
33,sybl_count,273.0
33,notdalechall_count,58.0
33,polysyblword_count,30.0
33,flesch_score,50.734593023255854
33,fleschkincaid_score,11.52406976744186
33,gunningfog_score,15.576744186046511
33,smog_score,14.191785591663535
33,dalechall_score,10.02743488372093
34,char_count,868.0
34,word_count,149.0
34,sent_count,6.0
34,sybl_count,260.0
34,notdalechall_count,65.0
34,polysyblword_count,37.0
